,date,sales,dollar_vol,avg_price,med_price,total_listings,month_inventory,county
0,Jan 2011,4,"852,500","213,125","173,750",,,Fayette
1,Feb 2011,7,"909,500","129,929","98,500",,,Fayette
2,Mar 2011,10,"1,285,500","128,550","105,750",,,Fayette
3,Apr 2011,11,"1,262,000","114,727","115,000",,,Fayette
4,May 2011,11,"1,091,600","99,236","95,500",,,Fayette
5,Jun 2011,6,"619,000","103,167","84,500",,,Fayette
6,Jul 2011,8,"869,400","108,675","87,250",,,Fayette
7,Aug 2011,10,"1,137,200","113,720","131,500",,,Fayette
8,Sep 2011,9,"1,696,500","188,500","118,000",,,Fayette
9,Oct 2011,13,"1,647,000","126,692","128,000",,,Fayette
10,Nov 2011,7,"702,400","100,343","75,900",,,Fayette
11,Dec 2011,8,"1,296,000","162,000","162,750",,,Fayette
12,Jan 2012,3,"507,500","169,167","172,500",,,Fayette
13,Feb 2012,3,"402,500","134,167","125,000",,,Fayette
14,Mar 2012,13,"1,992,100","153,238","160,000",,,Fayette
15,Apr 2012,11,"1,523,600","138,509","124,500",,,Fayette
16,May 2012,11,"1,710,863","155,533","155,263",,,Fayette
17,Jun 2012,7,"1,150,000","164,286","165,000",,,Fayette
18,Jul 2012,7,"657,500","93,929","84,000",,,Fayette
19,Aug 2012,12,"1,478,500","123,208","129,000",,,Fayette
20,Sep 2012,12,"1,534,000","127,833","148,000",,,Fayette
21,Oct 2012,7,"1,182,000","168,857","85,000",,,Fayette
22,Nov 2012,11,"1,708,400","155,309","151,900",,,Fayette
23,Dec 2012,8,"1,228,128","153,516","102,500",,,Fayette
24,Jan 2013,5,"475,000","95,000","45,000",,,Fayette
25,Feb 2013,9,"1,052,000","116,889","100,000",,,Fayette
26,Mar 2013,9,"1,104,000","122,667","100,000",,,Fayette
27,Apr 2013,21,"3,910,250","186,202","181,000",,,Fayette
28,May 2013,14,"2,533,000","180,929","176,000",,,Fayette
29,Jun 2013,13,"2,400,330","184,641","152,500",,,Fayette
30,Jul 2013,10,"1,491,500","149,150","173,000",,,Fayette
31,Aug 2013,8,"843,300","105,412","100,000",,,Fayette
32,Sep 2013,14,"3,102,300","221,593","213,450",,,Fayette
33,Oct 2013,7,"1,579,589","225,656","325,000",,,Fayette
34,Nov 2013,5,"637,400","127,480","145,000",,,Fayette
35,Dec 2013,9,"1,477,500","164,167","126,000",,,Fayette
36,Jan 2014,13,"1,691,500","130,115","80,000",,,Fayette
37,Feb 2014,9,"2,323,000","258,111","301,000",,,Fayette
38,Mar 2014,14,"1,973,258","140,947","134,049",,,Fayette
39,Apr 2014,13,"1,625,500","125,038","93,000",,,Fayette
40,May 2014,12,"2,024,500","168,708","170,000",,,Fayette
41,Jun 2014,11,"1,175,000","106,818","79,000",,,Fayette
42,Jul 2014,10,"2,447,500","244,750","242,500",,,Fayette
43,Aug 2014,14,"2,439,718","174,266","149,900",,,Fayette
44,Sep 2014,13,"2,542,000","195,538","149,500",,,Fayette
45,Oct 2014,13,"1,596,500","122,808","120,000",,,Fayette
46,Nov 2014,9,"1,216,500","135,167","137,500",,,Fayette
47,Dec 2014,13,"1,809,000","139,154","135,000",,,Fayette
48,Jan 2015,13,"2,429,539","186,888","170,000",69,5.8,Fayette
49,Feb 2015,8,"1,795,010","224,376","233,300",77,6.5,Fayette
50,Mar 2015,15,"1,869,025","124,602","150,555",82,6.8,Fayette
51,Apr 2015,9,"1,888,500","209,833","165,000",89,7.6,Fayette
52,May 2015,17,"2,835,800","166,812","165,000",99,8.2,Fayette
53,Jun 2015,22,"3,182,300","144,650","125,000",93,7.2,Fayette
54,Jul 2015,18,"3,639,500","202,194","174,500",88,6.4,Fayette
55,Aug 2015,11,"1,641,600","149,236","127,500",96,7.2,Fayette
56,Sep 2015,17,"2,886,500","169,794","200,000",99,7.2,Fayette
57,Oct 2015,21,"4,469,000","212,810","165,000",82,5.7,Fayette
58,Nov 2015,10,"1,776,200","177,620","134,900",85,5.9,Fayette
59,Dec 2015,16,"2,396,500","149,781","181,000",79,5.4,Fayette
60,Jan 2016,14,"2,808,550","200,611","175,250",76,5.1,Fayette
61,Feb 2016,14,"2,434,000","173,857","174,750",77,5.0,Fayette
62,Mar 2016,9,"1,544,500","171,611","156,000",75,5.1,Fayette
63,Apr 2016,12,"1,907,350","158,946","138,500",87,5.8,Fayette
64,May 2016,9,"1,183,000","131,444","145,000",102,7.1,Fayette
65,Jun 2016,19,"3,127,424","164,601","165,000",103,7.3,Fayette
66,Jul 2016,17,"2,341,000","137,706","75,000",106,7.5,Fayette
67,Aug 2016,22,"3,323,400","151,064","150,000",97,6.5,Fayette
68,Sep 2016,13,"2,429,500","186,885","168,500",106,7.2,Fayette
69,Oct 2016,11,"1,983,300","180,300","171,000",110,8.0,Fayette
70,Nov 2016,6,"993,000","165,500","189,500",111,8.2,Fayette
71,Dec 2016,23,"3,444,300","149,752","135,000",92,6.5,Fayette
72,Jan 2017,17,"2,111,200","124,188","120,000",98,6.8,Fayette
73,Feb 2017,11,"2,091,000","190,091","164,000",92,6.5,Fayette
74,Mar 2017,21,"3,152,000","150,095","135,000",95,6.3,Fayette
75,Apr 2017,16,"2,112,000","132,000","129,000",93,6.0,Fayette
76,May 2017,21,"3,644,375","173,542","170,000",87,5.3,Fayette
